WKT,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,ciclo_obse,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP
"MULTILINESTRING ((-58.4292181631792 -34.5508470510858,-58.4296918723879 -34.5505234549563))","896","16003","OBLIGADO RAFAEL, Av.Costanera","6182","6200","6181","6199","COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,56.38,DOBLE,"2",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4111723965244 -34.5576823246023,-58.4121097005867 -34.5570327992133,-58.4127946167632 -34.55660377816,-58.4137710264573 -34.5560738548361))","1724","16003","OBLIGADO RAFAEL, Av.Costanera","4202","4500","4201","4499","COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,297.26,DOBLE,"2",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4097807451194 -34.5587848009121,-58.4105883424598 -34.5581411929905,-58.4111723965244 -34.5576823246023))","1828","16003","OBLIGADO RAFAEL, Av.Costanera","3452","4200","3451","4199","COSTANERA NORTE, Av.",AV.COSTANERA RAFAEL OBLIGADO,AVENIDA,175.93,DOBLE,"2",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4809938700341 -34.5604794780342,-58.4810456101232 -34.5604062998966))","1997","21059",TRONADOR,"0","0","0","0",ESTOMBA Y PLAZA,TRONADOR,CALLE,9.4,DOBLE,"2",corrección altura 8-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda noreste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción Octubre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",COGHLAN,COGHLAN,COGHLAN
"MULTILINESTRING ((-58.4205865857438 -34.5807939862154,-58.4172704158941 -34.5773494018058))","4846","20075",SARMIENTO AV.,"2602","3100","2601","3099",,AV. SARMIENTO,AVENIDA,488.48,DOBLE,"2",corrección numeración 22-1,Ciclovías,Mano izquierda,Vereda,Construcción Año 2010,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.474334099744 -34.5923058671333,-58.4730262354783 -34.5912560441134,-58.4729944664543 -34.5912050598593,-58.4730156622595 -34.5911366063057))","7367","21059",TRONADOR,"0","0","0","0",ESTOMBA Y PLAZA,TRONADOR,CALLE,181.42,DOBLE,"2",s/n corrección 10-1,Bicisendas,,,,Bicisenda,VÍA LOCAL,,"15","15","15",PATERNAL,PATERNAL,PATERNAL
"MULTILINESTRING ((-58.3686226859228 -34.5969180362524,-58.3695862584152 -34.594214723245))","8300","1087",ANTARTIDA ARGENTINA AV.,"852","930","851","929",,AV.ANTARTIDA ARGENTINA,AVENIDA,312.65,CRECIENTE,"1","Alturas asig. según puertas ofic encontradas. Sin altura en carteles, pero se asignaron según esas puertas y en concordancia con calles contiguas. Antes Doble: Modif. desde 24/01/2018 Obras Paseo del Bajo. Sent Norte R 401/SECTRANS/19 -BO 5685 26/08/2019",Ciclovías,Mano izquierda,Vereda,Construcción en Noviembre de 2019 (Construída originalmente en 2010pero puesta en Obra durante Construcción de Paseo del Bajo),Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"1","1","1",RETIRO,RETIRO,RETIRO
"MULTILINESTRING ((-58.4671220071903 -34.5773209017168,-58.4672210174788 -34.577202169951))","27742","21059",TRONADOR,"0","0","0","0",ESTOMBA Y PLAZA,TRONADOR,CALLE,16,CRECIENTE,"1",,Ciclovías Proyectadas,,,Informada como Proyectada por Sec. de Transporte en Febrero de 2019,Ciclovía proyectada,VÍA LOCAL,,"15","15","15",VILLA ORTUZAR,VILLA ORTUZAR,VILLA ORTUZAR
"MULTILINESTRING ((-58.4702349105821 -34.5922009842324,-58.474334099744 -34.5923058671333))","27809","7109",GUTENBERG,"0","0","311","399",LA VIA DEL TRANVIA REAL,GUTENBERG,CALLE,376.249978542883,DOBLE,"2",,Bicisendas,,,,Bicisenda,VÍA LOCAL,,"15","15","15",PATERNAL,PATERNAL,PATERNAL
"MULTILINESTRING ((-58.4631823406625 -34.541584792478,-58.463720507854 -34.5424522363118))","180","19047","RIVADAVIA MARTIN, COMODORO","0","0","1601","1699",,COMODORO MARTIN RIVADAVIA,CALLE,108.17,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4699382063455 -34.5427255141509,-58.4700389612043 -34.5425888150739,-58.47051456401 -34.5419443351284))","199","3197",CUBA,"4302","4400","4301","4399",,CUBA,CALLE,101.53,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017. Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.463888849839 -34.5427710464066,-58.464203409382 -34.5433664818673,-58.4642458791742 -34.5434916255038))","240","19047","RIVADAVIA MARTIN, COMODORO","1742","1800","0","0",,COMODORO MARTIN RIVADAVIA,CALLE,86.51,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.469365752538 -34.5435025351264,-58.4699382063455 -34.5427255141509))","243","3197",CUBA,"4202","4300","4201","4299",,CUBA,CALLE,100.95,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017. Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4688451992512 -34.5442093379689,-58.468933192685 -34.5440897535163,-58.469365752538 -34.5435025351264))","282","3197",CUBA,"4102","4200","4101","4199",,CUBA,CALLE,91.82,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017.Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4677970028013 -34.5456339936214,-58.46787853142 -34.5455232132275,-58.4682703423464 -34.5449907200341))","370","3197",CUBA,"3902","4000","3901","3999",,CUBA,CALLE,83.55,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017.Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4651593825367 -34.5456913876207,-58.465250538581 -34.5458606156951,-58.4654474077642 -34.5462848481121,-58.4655634179762 -34.5464830902884,-58.4657507508389 -34.5466688658452))","441","19047","RIVADAVIA MARTIN, COMODORO","2002","2100","2001","2099",,COMODORO MARTIN RIVADAVIA,CALLE,122.24,DOBLE,"2",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4651725871307 -34.546256049116,-58.4653548136149 -34.5465071086467,-58.4656523845734 -34.5468019721948))","443","10005",JARAMILLO,"2052","2100","2051","2099",,JARAMILLO,CALLE,75.1,CRECIENTE,"1",,Ciclovías Proyectadas,,,,Ciclovía proyectada,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4667508131391 -34.5470550482499,-58.4672737847607 -34.5463447333743))","468","3197",CUBA,"3702","3800","3701","3799",,CUBA,CALLE,92.27,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017.Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4657507508389 -34.5466688658452,-58.4664931112454 -34.5474051341725))","496","19047","RIVADAVIA MARTIN, COMODORO","0","0","2101","2199",,COMODORO MARTIN RIVADAVIA,CALLE,106.37,CRECIENTE,"1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4664931112454 -34.5474051341725,-58.4667508131391 -34.5470550482499))","497","3197",CUBA,"3652","3700","3651","3699",,CUBA,CALLE,45.47,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017.Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4572946104568 -34.5467202933123,-58.4587658736963 -34.5474562197389))","503","17048","PEDRAZA, MANUELA","1502","1600","1501","1599",,MANUELA PEDRAZA,CALLE,157.81,DECRECIENTE,"-1",,Ciclovías Proyectadas,,,Calzada paralela y adyacente a la vereda noroeste,Ciclovía proyectada,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4827556454321 -34.5478575805782,-58.4833347304501 -34.5470893697659))","538","20127",SUPERI,"4402","4500","4401","4499",,SUPERI,CALLE,100.44,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4824661840206 -34.5482415792697,-58.4827556454321 -34.5478575805782))","572","20127",SUPERI,"4352","4400","4351","4399",,SUPERI,CALLE,50.21,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4597098209598 -34.5479284456546,-58.4606422889414 -34.5483948187763))","587","17048","PEDRAZA, MANUELA","1702","1800","1701","1799",,MANUELA PEDRAZA,CALLE,100.01,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017. Calzada paralela y adyacente a la vereda noroeste,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4821756989206 -34.5486269858939,-58.4824661840206 -34.5482415792697))","616","20127",SUPERI,"4302","4350","4301","4349",,SUPERI,CALLE,50.39,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4432559776928 -34.5453299291445,-58.4441212281184 -34.5448552272552,-58.4451623151248 -34.5442781889936,-58.4460322165991 -34.5437997821308,-58.4466765599196 -34.5433961291268))","29720","3054","CANTILO, Int.","0","0","0","0",,INT. CANTILO,CALLE,380.39,CRECIENTE,"1",corrección nombre 9-1-03,Ciclovías Proyectadas,,,,Ciclovía proyectada,VÍA TRONCAL,SI,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4655305399593 -34.5487171590167,-58.4661227248404 -34.5479088174466))","626","3197",CUBA,"3502","3600","3501","3599",,CUBA,CALLE,104.86,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017.Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4685090378691 -34.5485404443189,-58.469895367619 -34.5488153134856))","637","7028",GARCIA DEL RIO AV.,"2402","2500","0","0",,AV. GARCIA DEL RIO,AVENIDA,130.85,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4704191588714 -34.5489191597999,-58.4709527395621 -34.5490249047063))","666","7028",GARCIA DEL RIO AV.,"0","0","0","0",,AV. GARCIA DEL RIO,AVENIDA,50.36,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4815980390956 -34.549393218927,-58.4821756989206 -34.5486269858939))","708","20127",SUPERI,"4202","4300","4201","4299",,SUPERI,CALLE,100.18,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4649625151255 -34.5494923274749,-58.4655305399593 -34.5487171590167))","724","3197",CUBA,"3402","3500","3401","3499",,CUBA,CALLE,100.56,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017.Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4804530589997 -34.5492047890876,-58.4806710431484 -34.5492528580118,-58.4810147483941 -34.5493430924778,-58.4813413527353 -34.5494615686134,-58.4814923591273 -34.5495333789076))","730","23062",VILELA,"3402","3500","3401","3499",,VILELA,CALLE,102.53,CRECIENTE,"1",,Ciclovías,,,Antes figuraba como preexistente pero fue revitalizada y quedó como terminada,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4814923591273 -34.5495333789076,-58.4815980390956 -34.549393218927))","731","20127",SUPERI,"4152","4200","4151","4199",,SUPERI,CALLE,18.33,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.463021104739 -34.5495818901251,-58.4634506498521 -34.5497994587015))","764","17048","PEDRAZA, MANUELA","2052","2100","2061","2099",,MANUELA PEDRAZA,CALLE,46.23,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017. Calzada paralela y adyacente a la vereda noroeste,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4751685766878 -34.5498606440031,-58.4762233364585 -34.5500696968279))","800","7028",GARCIA DEL RIO AV.,"3002","3100","0","0",,AV. GARCIA DEL RIO,AVENIDA,99.55,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4814923591273 -34.5495333789076,-58.4816008898103 -34.5495849836385,-58.481775480257 -34.5496893964547,-58.4820076202889 -34.5498492944944,-58.4822264838824 -34.5500110251764,-58.4823409023812 -34.5501236156969))","810","23062",VILELA,"3502","3600","3501","3599",,VILELA,CALLE,102.24,CRECIENTE,"1",,Ciclovías,,,Antes figuraba como preexistente pero fue revitalizada y quedó como terminada,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4762233364585 -34.5500696968279,-58.476889543801 -34.550203219222,-58.4770415650383 -34.5502504568511))","824","7028",GARCIA DEL RIO AV.,"3102","3200","0","0",,AV. GARCIA DEL RIO,AVENIDA,77.82,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4772475195847 -34.5499811915797,-58.4776298261345 -34.5494815681116))","825","17087",PINTO,"3902","4000","3901","3999",,PINTO,CALLE,65.6,CRECIENTE,"1",corrección numeración 5-2,Ciclovías,,,Antes figuraba como preexistente pero fue revitalizada y quedó como terminada,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4634506498521 -34.5497994587015,-58.4643923519469 -34.5502705214518))","826","17048","PEDRAZA, MANUELA","2102","2200","2101","2199",,MANUELA PEDRAZA,CALLE,101.01,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017. Calzada paralela y adyacente a la vereda noroeste,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4643923519469 -34.5502705214518,-58.4649625151255 -34.5494923274749))","827","3197",CUBA,"3302","3400","3301","3399",,CUBA,CALLE,100.95,DECRECIENTE,"-1",,Ciclovías,,,Construcción Julio 2017.Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4453751224192 -34.5496603933238,-58.4464789112249 -34.5503145800109))","832","4111",MONROE,"1002","1100","1001","1099",,MONROE,CALLE,124.63,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2012,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4849949784408 -34.5500338978805,-58.4850610463732 -34.5501258260663,-58.4859026092851 -34.5505604130614))","860","19093",RUIZ HUIDOBRO AV.,"3702","3800","0","0",,AV.RUIZ HUIDOBRO,AVENIDA,102.92,DECRECIENTE,"-1",corr. altura 8-1-03,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.496665257297 -34.5508526716688,-58.4967480265758 -34.5507346884927,-58.4972157151336 -34.5500673605916))","900","13083",MILLER,"4802","4900","4801","4899",,MILLER,CALLE,100.71,CRECIENTE,"1",,Ciclovías,Calzada paralela y adyacente a la vereda suroeste,,Construcción Febrero 2018,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4693174518415 -34.5511549060432,-58.470157786089 -34.550055046949))","934","1072",AMENABAR,"3502","3600","3501","3599",,AMENABAR,CALLE,144.35,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.486835172899 -34.5510455300271,-58.4876549521798 -34.5514708722397))","975","19093",RUIZ HUIDOBRO AV.,"3902","4000","0","0",,AV.RUIZ HUIDOBRO,AVENIDA,88.82,DECRECIENTE,"-1",corr. altura 8-1-03,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4828708836754 -34.5511176399374,-58.4838039473255 -34.551605667324))","987","23062",VILELA,"3702","3800","3701","3799",,VILELA,CALLE,101.32,DECRECIENTE,"-1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4367428154377 -34.5516102755423,-58.4374265368538 -34.5508184318535,-58.4375663440643 -34.5506588801626))","989","6025","FIGUEROA ALCORTA, PRES. AV.","6602","6700","6601","6699","CENTENARIO, Av.",AV.PRES. FIGUEROA ALCORTA,AVENIDA,129.82,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4961142787334 -34.5516387549721,-58.496665257297 -34.5508526716688))","994","13083",MILLER,"4702","4800","4701","4799",,MILLER,CALLE,100.81,CRECIENTE,"1",,Ciclovías,Calzada paralela y adyacente a la vereda suroeste,,Construcción Febrero 2018,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4876549521798 -34.5514708722397,-58.4884619157673 -34.551707897281))","1000","19093",RUIZ HUIDOBRO AV.,"4002","4100","0","0",,AV.RUIZ HUIDOBRO,AVENIDA,78.6,DECRECIENTE,"-1",corr. altura 8-1-03,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4632570155647 -34.5518199995504,-58.463824816688 -34.551045050597))","1011","3197",CUBA,"3102","3200","3101","3199",,CUBA,CALLE,100.53,DECRECIENTE,"-1",,Ciclovías,,,Construcción Noviembre de 2018. Calzada paralela y adyacente a la vereda noreste,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4884619157673 -34.551707897281,-58.4885545184415 -34.5516981596244,-58.4886501960141 -34.5517239150503,-58.4887789941985 -34.5517845234671,-58.4888257367963 -34.5518309232436))","1015","19093",RUIZ HUIDOBRO AV.,"0","0","0","0",,AV.RUIZ HUIDOBRO,AVENIDA,38.1,DOBLE,"2",no corresponde altura 8-1-03,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4687044211247 -34.5519572775434,-58.4693174518415 -34.5511549060432))","1034","1072",AMENABAR,"3402","3500","3401","3499",,AMENABAR,CALLE,105.3,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",NUÑEZ,NUÑEZ,NUÑEZ
"MULTILINESTRING ((-58.4785429857166 -34.5517065102249,-58.4786858221143 -34.5517752967428,-58.4789363348354 -34.5518700558764,-58.4792176590618 -34.5519598103643,-58.4793749592907 -34.5519930299724,-58.4795897991744 -34.5520327207396))","1043","7028",GARCIA DEL RIO,"3402","3500","3401","3499",,GARCIA DEL RIO,CALLE,103.23,DECRECIENTE,"-1",,Ciclovías,,,Antes figuraba como preexistente pero fue revitalizada y quedó como terminada,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4807867265739 -34.5521722063437,-58.4809249314073 -34.5521138523626,-58.4816678764938 -34.5519205217755,-58.482059718175 -34.5517829237609))","1057","17065","PEREZ, ROQUE","3902","4000","3901","3999",URQUIZA,ROQUE PEREZ,CALLE,124.8,DECRECIENTE,"-1",,Ciclovías,,,Antes figuraba como preexistente pero fue revitalizada y quedó como terminada,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4795897991744 -34.5520327207396,-58.4796849620748 -34.5520503140529,-58.4801061255945 -34.5521025819785,-58.4805712556089 -34.5521256081241,-58.4807867265739 -34.5521722063437))","1058","7028",GARCIA DEL RIO,"3502","3600","3501","3599",,GARCIA DEL RIO,CALLE,111.25,DECRECIENTE,"-1",,Ciclovías,,,Antes figuraba como preexistente pero fue revitalizada y quedó como terminada,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4487405833264 -34.5516551135642,-58.4498559143762 -34.5523161724613))","1080","4111",MONROE,"1302","1400","1301","1399",,MONROE,CALLE,125.93,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2012,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4564908820515 -34.5523264412928,-58.4571614773215 -34.5526742264952))","1141","3156",CONGRESO,"1802","1870","1801","1869",,CONGRESO,CALLE,72.6437112447694,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2012,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",,BELGRANO,NUÑEZ
"MULTILINESTRING ((-58.4359345088619 -34.5525464570039,-58.4367428154377 -34.5516102755423))","1107","6025","FIGUEROA ALCORTA, PRES. AV.","6502","6600","6501","6599","CENTENARIO, Av.",AV.PRES. FIGUEROA ALCORTA,AVENIDA,127.63,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4499120005575 -34.5523493484143,-58.4508570464772 -34.5529094614583))","1156","4111",MONROE,"1402","1500","1401","1499",,MONROE,CALLE,106.7,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2012,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4901780496326 -34.5528787561243,-58.4911105819364 -34.5533732770837))","1206","19093",RUIZ HUIDOBRO AV.,"4302","4400","0","0",,AV.RUIZ HUIDOBRO,AVENIDA,101.66,DECRECIENTE,"-1",se completo numeración 8-1-3,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,SI,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4911105819364 -34.5533732770837,-58.4918514907318 -34.5537662137705,-58.4920276306891 -34.5538585689563))","1261","19093",RUIZ HUIDOBRO AV.,"4402","4500","0","0",,AV.RUIZ HUIDOBRO,AVENIDA,99.92,DECRECIENTE,"-1",se completo numeración 8-1-3,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA DISTRIBUIDORA COMPLEMENTARIA,SI,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
