WKT,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,ciclo_obse,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP
"MULTILINESTRING ((-58.4529199830751 -34.5696484720326,-58.4538391470151 -34.5691175498807))","3130","13099",MOLDES,"1302","1400","1301","1399",,MOLDES,CALLE,102.88,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4649190743252 -34.5697520033299,-58.4657387153077 -34.5688052096246))","3143","20127",SUPERI,"1902","2000","1901","1999",,SUPERI,CALLE,129.19,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4817343830247 -34.5701966876072,-58.4818950634819 -34.5700105901886))","3202","13083",MILLER,"2602","2608","2601","2607",,MILLER,CALLE,25.37,DOBLE,"2",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Noviembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4994406452489 -34.5702715339436,-58.5001218608625 -34.5694319469963,-58.5002199652513 -34.5693085345498))","3215","3115",CERETTI,"3302","3400","3301","3399",,CERETTI,CALLE,128.56,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2010,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4641545814659 -34.5706351981648,-58.4649190743252 -34.5697520033299))","3258","20127",SUPERI,"1802","1900","1801","1899",,SUPERI,CALLE,120.5,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4511949441071 -34.5706446011528,-58.4515908527365 -34.5704160435584))","3260","13099",MOLDES,"1102","1150","1101","1149",,MOLDES,CALLE,44.3,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4774534890862 -34.5701900053569,-58.4784088012884 -34.5707732830398))","3281","2083",BLANCO ENCALADA,"4202","4300","4201","4299",,BLANCO ENCALADA,CALLE,108.96,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4457062819143 -34.5695500378411,-58.4466988855942 -34.5711092932244))","3328","7033","GARCIA, TEODORO","2402","2500","2401","2499",ESTECO,TEODORO GARCIA,CALLE,195.49,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.450341904251 -34.5711267064869,-58.4505140613441 -34.5710376383245,-58.4511949441071 -34.5706446011528))","3335","13099",MOLDES,"1002","1100","1001","1099",,MOLDES,CALLE,94.82,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4722524067027 -34.5712327019357,-58.4729230975084 -34.5704461560232,-58.4730146044763 -34.5703372028876))","3355","21059",TRONADOR,"2102","2200","2101","2199",ESTOMBA Y PLAZA,TRONADOR,CALLE,121.5,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
